case	sun_elevation	view_elevation	view_azimuth	renderer_r	renderer_g	renderer_b	bruneton_r	bruneton_g	bruneton_b	bruneton_maximum_error	bruneton_l1_error	prague_r	prague_g	prague_b	prague_maximum_error	prague_l1_error
noon-toward	60	30	0	0.136894945288	0.273332450554	0.589772604158	0.136448311860	0.271736301784	0.591815386356	0.002042782198	0.004085564396	0.255832234104	0.303853575734	0.440314190162	0.149458413996	0.298916827992
noon-cross	60	10	90	0.146051666622	0.293292142692	0.560656190685	0.144781076783	0.293013293264	0.562205629954	0.001549439269	0.003098878537	0.244106385416	0.305482648802	0.450410965783	0.110245224902	0.220490449805
noon-zenith	60	85	0	0.134184667334	0.265275879309	0.600539453357	0.139473778495	0.267758695613	0.592767525892	0.007771927465	0.015543854930	0.252887910629	0.301034454221	0.446077635150	0.154461818207	0.308923636414
sunset-toward	1	5	0	0.638235534101	0.257925681525	0.103838784374	0.650577981151	0.251108427875	0.098313590974	0.012342447050	0.024684894100	0.611397709059	0.281913275159	0.106689015782	0.026837825042	0.053675650085
sunset-cross	1	5	90	0.428236148085	0.330611312128	0.241152539787	0.439546396076	0.330207923911	0.230245680013	0.011310247991	0.022620495982	0.382303306248	0.323053269625	0.294643424127	0.053490884340	0.106981768681
sunset-zenith	1	85	0	0.239162048443	0.274906221288	0.485931730268	0.249483899630	0.278360693139	0.472155407232	0.013776323036	0.027552646074	0.219416876895	0.295565384779	0.485017738326	0.020659163491	0.041318326981
